Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
320	-3711.892	-3709.738	-2.15423	0.4601552	0.1984492	0.274989	0.11252	0.286356	0.0843704	0.066041	0.131692	0.158292	0.249915	0.152928	0.195077	0.221184	0.244113	0.0704286	0.0747486	0.0753008	0.203203	0.886553	0.402552	0.1751756	-0.01388984	0.00617117	0.533284	0.013402	0.0129557	0.426278	0.00790894	0.1289102	-1.741967	0.000503296	0.0328856	0.379598	3.58701	0.308533	0.299977	0.116611	0.274879	0.1150203	1.12076
330	-3715.27	-3711.733	-3.53718	0.5317699	0.1766209	0.517505	0.29908	0.53728	0.105874	0.186143	0.281297	0.128716	0.222117	0.132103	0.195376	0.274611	0.138719	0.0674474	0.134748	0.102156	0.127614	0.158665	0.270141	0.1714187	-0.4011341	0.00496499	0.558755	0.00595794	0.00861937	0.405614	0.0160883	0.5218535	-1.763646	0.000212908	0.0214693	0.319963	3.65835	0.298946	0.307408	0.127307	0.266338	0.1207194	4.322864
340	-3718.433	-3723.323	4.889519	0.5652302	0.2012957	0.0803267	0.144264	0.409686	0.0878791	0.117982	0.0641936	0.105243	0.245325	0.107614	0.179868	0.142902	0.0458733	0.0655315	0.226242	0.0444845	0.127475	0.156333	0.191298	0.1294537	-0.3435896	0.00848726	0.507512	0.0109062	0.00724301	0.455704	0.0101478	0.4116	-2.044432	0.000555339	0.0345263	0.387031	3.57789	0.29719	0.294647	0.128238	0.279926	0.06801036	6.052018
350	-3721.85	-3718.842	-3.00773	0.4367367	0.1621714	0.0777146	0.173506	0.411934	0.0536283	0.14869	0.154137	0.145631	0.18467	0.160046	0.216965	0.113283	0.303602	0.118194	0.104405	0.300086	0.268923	0.0315356	0.388444	0.191517	0.08081543	0.013522	0.611791	0.00819251	0.00134467	0.357267	0.0078826	0.1678527	-1.652779	0.000106017	0.0151842	0.278157	3.70655	0.310885	0.308225	0.12884	0.252051	0.2486682	0.6750069
360	-3725.875	-3711.318	-14.55729	0.5149919	0.1576175	0.240519	0.334546	0.686145	0.140301	0.0853362	0.0857043	0.234215	0.432427	0.116272	0.130192	0.0980102	0.581172	0.0753539	0.737902	0.0582895	0.224173	0.0288828	0.393105	0.1786994	0.1906141	0.0109161	0.493891	0.00880266	0.00113071	0.480379	0.00488056	0.1318988	-1.72205	8.28718e-05	0.0134338	0.264664	3.72182	0.296473	0.304704	0.138272	0.260552	0.3225129	0.4089723
370	-3716.265	-3715.931	-0.3340403	0.49876	0.1818524	0.165476	0.146354	0.457249	0.0896197	0.0935133	0.268641	0.120606	0.319341	0.0930215	0.236582	0.197033	0.204452	0.0585001	0.287892	0.138151	0.300524	0.0968199	0.142268	0.1398723	-0.4435143	0.0170731	0.589131	0.0118586	0.00448653	0.37547	0.0019808	0.469274	-1.967026	0.000266645	0.0240057	0.334666	3.64106	0.293541	0.296319	0.140532	0.269608	0.02575967	18.21739
380	-3719.254	-3709.133	-10.12073	0.5094179	0.1844623	0.160511	0.20422	0.35979	0.103181	0.234777	0.388363	0.208548	0.668496	0.129255	0.243285	0.265786	0.21067	0.0583236	0.100619	0.339651	0.345127	0.140791	0.304473	0.1602745	-0.4319562	0.0130526	0.58186	0.0070421	0.00645126	0.390061	0.00153373	0.6014476	-1.830867	0.000296904	0.02532	0.341907	3.63248	0.305383	0.30743	0.129468	0.257718	0.1694914	3.548543
390	-3716.048	-3708.272	-7.776277	0.5905355	0.2140644	0.118231	0.256483	0.377654	0.0519227	0.142767	0.267367	0.12835	0.398239	0.168599	0.304669	0.26816	0.395137	0.0645039	0.063063	0.823153	0.141454	0.247941	0.298684	0.2017907	-0.2048514	0.014617	0.530191	0.0107294	0.00733592	0.436416	0.000710434	0.2729689	-1.600525	0.000836061	0.0422628	0.419359	3.53754	0.294568	0.296542	0.124883	0.284006	0.06811753	4.007322
400	-3714.544	-3709.049	-5.495036	0.5857515	0.1876368	0.201753	0.164222	0.371288	0.0580341	0.252702	0.223323	0.141574	0.232947	0.146633	0.212511	0.21315	0.124295	0.0658866	0.0613735	0.317669	0.146415	0.441204	0.245419	0.203748	0.5308364	0.012892	0.587733	0.0148187	0.00782926	0.376041	0.000685721	0.1199351	-1.590872	0.000337011	0.0269615	0.350629	3.62207	0.278868	0.303142	0.127663	0.290327	0.6507716	0.1842968
410	-3713.211	-3711.675	-1.536298	0.4250197	0.198117	0.256811	0.317056	0.382556	0.081393	0.24186	0.16636	0.170549	0.350827	0.146462	0.138204	0.175907	0.147127	0.0826337	0.427558	0.111996	0.129545	0.265944	0.153421	0.2122353	0.3967766	0.0120437	0.53184	0.0168346	0.00742618	0.430355	0.00150019	0.0657473	-1.55006	0.000497458	0.0326963	0.378726	3.58808	0.276402	0.300461	0.135377	0.28776	0.4625239	0.142149
