Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
32	0	-3713.493	-3714.492	0.9992058	0.5758698	0.1966555	0.282752	0.0444601	0.278439	0.556213	0.133967	0.101376	0.0653766	0.03456	0.168853	0.145492	0.0414383	0.111301	0.148903	0.0750335	0.166758	0.0147321	0.160413	0.343673	0.1788755	0.02400784	0.0183676	0.536254	0.00519325	0.00841587	0.426801	0.00496858	0.02433738	0.000472342	0.0318686	0.374873	3.59279	0.302413	0.299352	0.13287	0.265364	0.04834523	0.5034082
33	1	-3716.796	-3711.85	-4.945908	0.4499675	0.1909942	0.378005	0.179101	0.470614	0.304755	0.0696209	0.122723	0.483221	0.172582	0.118373	0.0448651	0.415751	0.113853	0.0110211	0.105196	0.296624	0.236998	0.296747	0.157243	0.1836612	0.05728444	0.00896894	0.542699	0.00582194	0.0161056	0.413794	0.0126112	0.001190401	0.000383571	0.0287469	0.359748	3.61112	0.30983	0.301678	0.125999	0.262493	0.05847484	0.0203575
34	0	-3715.38	-3710.545	-4.834843	0.4972554	0.1782554	0.477561	0.0974898	0.216933	0.483423	0.281052	0.139907	0.275141	0.163357	0.125661	0.231089	0.0157791	0.0411528	0.132664	0.231443	0.188269	0.204809	0.244084	0.1711	0.189908	0.1625739	0.0133171	0.506783	0.00662093	0.0142985	0.452088	0.00689228	0.01793812	0.000228743	0.0222474	0.324583	3.65294	0.302413	0.299352	0.13287	0.265364	0.1805121	0.09937353
35	1	-3719.568	-3709.75	-9.817511	0.4388827	0.19242	0.452732	0.570209	0.533318	0.794923	0.214048	0.333764	0.517291	0.226376	0.406533	0.0491212	0.117273	0.0792163	0.0648127	0.0945935	0.0918143	0.227831	0.193066	0.136775	0.283567	0.02743748	0.0103598	0.505404	0.00406232	0.00881902	0.454614	0.0167412	0.00221083	0.000404686	0.0295202	0.363587	3.60649	0.303381	0.311289	0.124973	0.260357	0.02964831	0.07456848
36	0	-3726.035	-3716.164	-9.871153	0.4099239	0.1749863	0.474354	0.0485618	0.392531	0.786942	0.165685	0.10764	0.160034	0.105022	0.155842	0.183031	0.069954	0.107009	0.697786	0.272104	0.420622	0.0403208	0.375985	0.323878	0.1959081	0.06630885	0.011699	0.517215	0.00107215	0.00605179	0.447736	0.0162259	0.0154172	0.000197902	0.0207044	0.315319	3.66378	0.313667	0.309456	0.133492	0.243385	0.08172605	0.1886448
37	1	-3723.155	-3714.811	-8.343643	0.5681827	0.176336	0.938525	0.379692	0.347975	0.681434	0.168561	0.159781	0.312178	0.098847	0.255444	0.0149987	0.0799526	0.0213321	0.207992	0.0935829	0.173764	0.129795	0.525369	0.237958	0.2588788	0.00201501	0.0112373	0.534887	0.0036052	0.00465697	0.424844	0.0207692	0.001329259	0.000210233	0.021335	0.319155	3.6593	0.290938	0.312417	0.116131	0.280514	0.003344269	0.3974737
38	0	-3725.477	-3719.023	-6.454469	0.7148388	0.1697706	0.457896	0.0427474	0.626884	0.651541	0.131217	0.086199	0.0297022	0.0486918	0.0630708	0.191803	0.125969	0.0548904	0.0467532	0.216464	0.129398	0.044599	0.265913	0.766239	0.1912599	0.159224	0.011159	0.519583	0.00161833	0.00695068	0.446135	0.0145544	0.02221891	0.000155265	0.0183542	0.30035	3.68114	0.300191	0.29712	0.128357	0.274332	0.1814429	0.1224568
39	1	-3732.133	-3719.027	-13.1061	0.633695	0.1744323	0.608688	0.365643	0.468529	1.21793	0.224362	0.127906	0.558314	0.12761	0.24097	0.0635933	0.342387	0.0283778	0.261866	0.0696595	0.08648	0.245672	0.474437	0.352119	0.3696452	0.0013463	0.0159975	0.523445	0.00173954	0.00515852	0.433686	0.0199734	0.002945089	0.000193001	0.0204482	0.31374	3.66562	0.311713	0.30539	0.112106	0.270791	0.004291389	0.6862788
40	0	-3725.954	-3714.12	-11.83443	0.6131475	0.1683087	0.700175	0.0359251	0.349247	0.43945	0.186328	0.129188	0.286816	0.17035	0.150861	0.305353	0.49472	0.0723438	0.145731	0.716845	0.0785443	0.120876	0.208171	0.511871	0.3250377	0.1509792	0.0096658	0.523127	0.00188048	0.0033351	0.443543	0.0184485	0.01115896	0.000144665	0.0177206	0.296114	3.68602	0.28489	0.315307	0.115516	0.284286	0.1621382	0.06882377
41	1	-3720.729	-3715.686	-5.042113	0.6959598	0.1681914	1.0615	0.34662	0.132243	0.343081	0.0320119	0.0167699	0.163209	0.161357	0.221351	0.0479351	0.085756	0.115736	0.0036852	0.146764	0.0347456	0.153642	0.444685	0.534557	0.2348053	-0.0101231	0.00855434	0.502174	0.00109216	0.00600682	0.463322	0.0188501	0.01266459	0.000143839	0.0176703	0.295774	3.68641	0.310437	0.319236	0.117188	0.253139	0.002541493	4.983129
42	0	-3717.734	-3710.699	-7.035347	0.484109	0.177078	0.440618	0.035423	0.297413	0.463414	0.173629	0.129015	0.061461	0.0662961	0.283088	0.393889	0.0804298	0.0419444	0.347747	0.0352199	0.191901	0.104593	0.0758762	0.829377	0.2255208	0.08640604	0.0112252	0.535243	0.0042382	0.00215993	0.435272	0.0118615	0.07524126	0.000217251	0.0216856	0.321257	3.65684	0.297565	0.318167	0.116564	0.267704	0.1616473	0.4654656
43	1	-3723.058	-3717.141	-5.916754	0.7690775	0.1376907	1.0404	0.198983	0.120126	0.22832	0.0164588	0.025607	0.159161	0.112347	0.0591616	0.0597668	0.218216	0.21028	0.200603	0.071812	0.126379	0.244299	0.588889	0.349006	0.1859406	0.01458021	0.008993	0.479934	0.000981873	0.00279686	0.493824	0.0134696	0.05052497	2.32758e-05	0.00713874	0.204464	3.78837	0.303047	0.303855	0.125026	0.268072	0.06510517	0.7760515
44	0	-3717.148	-3712.216	-4.932002	0.6001494	0.2002285	0.456073	0.0402641	0.241094	0.413629	0.188315	0.0983758	0.0514093	0.0253645	0.261215	0.199234	0.528348	0.0657836	0.147641	0.0703955	0.155017	0.0594726	0.190892	0.588741	0.1780774	0.0533263	0.0138839	0.438882	0.00468104	0.00615419	0.506534	0.0298653	0.05093983	0.000535401	0.0339074	0.384254	3.5813	0.294525	0.311119	0.122742	0.271614	0.1042661	0.4885558
45	1	-3726.42	-3716.213	-10.20708	0.7054656	0.1738505	1.0768	0.852346	0.07164	0.158066	0.119569	0.129456	0.0897006	0.101141	0.232115	0.0669058	0.288662	0.447346	0.242939	0.0425665	0.284418	0.258704	0.232955	0.171078	0.1797237	-0.03294081	0.00741412	0.561498	0.000375339	0.00410433	0.414065	0.0125434	0.05651836	0.000187951	0.0201808	0.312079	3.66755	0.306055	0.30687	0.107933	0.279141	0.02357755	2.397126
46	0	-3723.489	-3714.124	-9.364809	0.5799816	0.216604	0.350921	0.0348713	0.236792	0.424812	0.161883	0.141958	0.222968	0.210208	0.296159	0.205285	0.0860091	0.0502594	0.103932	0.212208	0.0709887	0.771572	0.19455	0.542623	0.1613996	0.1505823	0.0137587	0.44832	0.015918	0.01091	0.489768	0.0213251	0.04995646	0.000901722	0.0438698	0.42559	3.52964	0.291322	0.307736	0.132282	0.26866	0.2005387	0.2491112
