Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
430	-3739.146	-3723.919	-15.22709	0.293856	0.1859749	0.2573335	-0.06762707	0.0138999	0.5478	0.015066	0.00420277	0.417135	0.0018966	0.108458	0.000315553	0.0260964	0.346075	3.62751	0.288061	0.317215	0.141917	0.252806	0.04083089	2.656273
440	-3740.003	-3723.425	-16.57814	0.2840494	0.214394	0.2215278	0.1539702	0.0147112	0.511037	0.0161458	0.00970945	0.447031	0.00136466	0.09442677	0.000844391	0.0424701	0.420171	3.53651	0.284841	0.313669	0.116897	0.284593	0.2483969	0.3801447
450	-3740.234	-3724.822	-15.41255	0.2840277	0.2279572	0.2564894	0.06138449	0.00566658	0.510902	0.0148901	0.0144422	0.451744	0.00235513	0.05532296	0.00123848	0.0512998	0.452641	3.49482	0.28335	0.323891	0.135053	0.257705	0.1167075	0.4740311
460	-3746.201	-3726.776	-19.42522	0.2838026	0.2620602	0.2682735	-0.5993436	0.00625348	0.558155	0.0150914	0.00707266	0.410582	0.00284475	0.6141102	0.00272212	0.0755275	0.526238	3.39551	0.3041	0.292934	0.132808	0.270158	0.01476666	41.5876
470	-3743.759	-3727.109	-16.64995	0.2782476	0.2144731	0.2075456	-0.2777344	0.0136208	0.56784	0.00587542	0.0059941	0.403904	0.00276523	0.3245836	0.000846398	0.0425199	0.420366	3.53627	0.310305	0.303491	0.1148	0.271404	0.04684917	6.928268
480	-3735.046	-3719.404	-15.64222	0.2601653	0.2152156	0.2658245	-0.1713334	0.014229	0.474892	0.00703042	0.00768979	0.487248	0.00891163	0.180156	0.000865401	0.0429885	0.422191	3.53395	0.30587	0.293472	0.133134	0.267525	0.008822534	20.41998
490	-3746.846	-3730.114	-16.73216	0.2628516	0.2162323	0.302465	0.1206642	0.0106514	0.485619	0.00394376	0.00687256	0.482702	0.0102116	0.07855247	0.000891897	0.0436332	0.424682	3.53079	0.311285	0.284846	0.11968	0.28419	0.1992166	0.3943068
500	-3746.385	-3719.934	-26.45064	0.2854603	0.2137409	0.2472832	0.252082	0.00957452	0.555871	0.00797017	0.00734625	0.405376	0.0138612	0.5689205	0.000827941	0.0420596	0.41856	3.53855	0.297897	0.305173	0.124148	0.272781	0.8210025	0.6929583
510	-3739.51	-3722.072	-17.43848	0.2633264	0.222437	0.2840158	-0.1182379	0.0131967	0.561539	0.00619965	0.0104147	0.389331	0.0193189	0.2484981	0.00106572	0.0476388	0.439652	3.51164	0.295113	0.310585	0.123938	0.270364	0.1302602	1.907705
520	-3739.786	-3724.639	-15.14647	0.2788892	0.2355089	0.2811838	0.01732086	0.01193	0.525925	0.00720586	0.0136246	0.431999	0.00931582	0.04869539	0.00150378	0.056443	0.469914	3.47214	0.300769	0.297372	0.126313	0.275546	0.06601626	0.7376273
530	-3744.255	-3727.673	-16.58255	0.2149326	0.2011954	0.3305949	-0.1940103	0.012035	0.518234	0.010722	0.0122372	0.435799	0.0109723	0.2114656	0.000553444	0.034468	0.386771	3.57821	0.320732	0.303365	0.129363	0.246541	0.01745537	12.11465
540	-3740.651	-3723.415	-17.23565	0.2241555	0.2159573	0.295556	0.1920189	0.0100675	0.47965	0.00634295	0.0145802	0.479165	0.0101945	0.07780836	0.000884677	0.0434585	0.424009	3.53165	0.271112	0.30469	0.147844	0.276354	0.2698273	0.2883636
550	-3735.298	-3716.938	-18.35977	0.194677	0.1871784	0.3706477	0.2548344	0.0129085	0.510626	0.00371922	0.00571271	0.455525	0.0115084	0.07709297	0.000330989	0.0267216	0.349376	3.62357	0.297846	0.302332	0.138356	0.261466	0.3319274	0.2322585
560	-3744.667	-3727.025	-17.64184	0.196114	0.1831701	0.3659784	-0.01265532	0.0138172	0.529275	0.00525443	0.00548322	0.429198	0.016972	0.1689904	0.000281625	0.0246653	0.33833	3.63672	0.325696	0.287642	0.126058	0.260604	0.1563351	1.08095
570	-3737.645	-3722.352	-15.29335	0.2047773	0.1997097	0.3396204	-0.05758106	0.00658967	0.526366	0.00709797	0.0112799	0.437426	0.0112404	0.06064298	0.000525894	0.0336082	0.3829	3.58297	0.319934	0.300245	0.123828	0.255993	0.003061921	19.80553
580	-3745.585	-3727.749	-17.83599	0.2585102	0.2256321	0.3126206	0.2252398	0.0192454	0.495731	0.00800329	0.0102335	0.461871	0.00491649	0.07923903	0.00116358	0.0497471	0.447207	3.50188	0.273854	0.311355	0.149326	0.265466	0.3044789	0.2602448
590	-3737.135	-3722.321	-14.81355	0.2531269	0.1965458	0.2753042	0.05535212	0.00743399	0.473541	0.00757128	0.00914251	0.487631	0.0146804	0.01274053	0.000470495	0.0318068	0.374583	3.59314	0.291588	0.299996	0.146899	0.261517	0.06809265	0.1871058
600	-3738.24	-3720.864	-17.37584	0.2440198	0.2076577	0.2521174	-0.1781771	0.0137849	0.461488	0.0104527	0.00680704	0.495752	0.0117157	0.292662	0.000685214	0.0383068	0.403347	3.55766	0.297596	0.293338	0.139074	0.269992	0.1144849	2.556337
610	-3737.898	-3723.466	-14.43153	0.2587192	0.2102824	0.2716031	-0.03929852	0.00829637	0.563164	0.00912586	0.00832015	0.402469	0.00862435	0.03956193	0.000744501	0.03991	0.409957	3.54939	0.293349	0.285696	0.119215	0.30174	0.000263409	150.192
620	-3734.558	-3719.935	-14.62251	0.2648176	0.2225039	0.2952242	-0.03270103	0.0131109	0.473673	0.00666613	0.0084082	0.492525	0.00561602	0.03351606	0.00106771	0.0476827	0.439811	3.51144	0.304993	0.291795	0.146828	0.256383	0.0008150285	41.12256
