Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
32	0	-3712.791	-3711.333	-1.457779	0.4231746	0.2000995	0.235341	0.226786	0.645328	0.184411	0.411506	0.305523	0.140679	0.272203	0.111833	0.0565944	0.0890931	0.148041	0.179332	0.294705	0.0660576	0.242467	0.146545	0.241854	0.2360425	0.01103645	0.0132913	0.467397	0.00776867	0.0148749	0.492707	0.00396086	0.000214821	-1.443744	0.000533027	0.0338329	0.383918	3.58172	0.286103	0.294452	0.138649	0.280796	0.01125127	0.01909304
33	1	-3709.646	-3710.232	0.5859853	0.322983	0.1626535	0.146322	0.17237	0.631387	0.107523	0.0796135	0.0951493	0.167171	0.310156	0.219722	0.215665	0.117142	0.386937	0.127004	0.369122	0.253131	0.0832324	0.0994888	0.286732	0.1955919	-0.1135311	0.00988208	0.534579	0.00306065	0.0126091	0.420296	0.0195729	0.1153063	-1.631725	0.000108731	0.0153762	0.279577	3.70494	0.305552	0.298266	0.124788	0.271394	0.001775277	64.95118
34	0	-3707.056	-3711.946	4.889586	0.4295975	0.1897224	0.167679	0.130956	0.361191	0.189832	0.250509	0.202106	0.132905	0.177455	0.162583	0.074794	0.0848944	0.245889	0.164458	0.297935	0.28319	0.134018	0.118309	0.340925	0.2091257	0.008465057	0.00823455	0.54159	0.00733458	0.0236723	0.413287	0.00588095	0.001456641	-1.56482	0.00036542	0.0280647	0.356306	3.61526	0.322621	0.292691	0.125694	0.258994	0.009921698	0.1468137
35	1	-3714.112	-3715.129	1.017282	0.472267	0.2004452	0.226595	0.232661	0.526283	0.0834702	0.11376	0.181394	0.214124	0.590478	0.182708	0.220598	0.165068	0.231978	0.0765168	0.132977	0.0858554	0.18092	0.0816894	0.279246	0.1510979	-0.1024198	0.0124039	0.46945	0.00250811	0.0166926	0.473857	0.0250886	0.1047676	-1.889827	0.000539407	0.0340327	0.384819	3.58061	0.311718	0.293802	0.130066	0.264414	0.002347866	44.62249
36	0	-3710.646	-3711.565	0.9187405	0.4287441	0.1801752	0.278749	0.332549	0.396818	0.255826	0.320868	0.24308	0.122941	0.0851174	0.155992	0.1132	0.105324	0.08277	0.0406711	0.296138	0.035703	0.180233	0.132658	0.229109	0.1334191	0.001542938	0.00886082	0.524683	0.00735256	0.0181955	0.438105	0.00280294	0.005068127	-2.01426	0.000248438	0.0231781	0.329979	3.64659	0.308518	0.298388	0.12906	0.264034	0.006611065	0.7666128
37	1	-3713.122	-3715.928	2.805958	0.4715733	0.2141682	0.116362	0.238938	0.487911	0.108331	0.106905	0.163414	0.234452	0.432787	0.215815	0.179296	0.292504	0.0877296	0.0758813	0.133093	0.0831454	0.146504	0.128739	0.274391	0.1283191	-0.03744812	0.0157109	0.548429	0.0022937	0.00960323	0.409063	0.0149008	0.04034905	-2.053235	0.000838677	0.042328	0.419615	3.53722	0.296075	0.314274	0.130984	0.258667	0.002900936	13.90898
38	0	-3708.176	-3710.119	1.942476	0.5545944	0.2185401	0.260542	0.169068	0.415615	0.195122	0.391063	0.296275	0.127048	0.0424289	0.150434	0.0953172	0.0801872	0.141562	0.117262	0.181161	0.104875	0.249888	0.474562	0.184096	0.1604159	6.951143e-05	0.00951798	0.522542	0.00478772	0.0181212	0.436318	0.0087129	0.007727385	-1.829985	0.000954091	0.0451089	0.430295	3.52364	0.314211	0.293205	0.128892	0.263691	0.007796896	0.9910847
39	1	-3708.516	-3710.079	1.563287	0.4887154	0.174887	0.109088	0.196536	0.666336	0.0780994	0.0624195	0.122496	0.231568	0.425822	0.126659	0.201962	0.47896	0.0983853	0.0959289	0.19105	0.218353	0.105642	0.11488	0.21504	0.1789651	-0.007649398	0.0158257	0.511291	0.00315489	0.0106599	0.44593	0.0131383	0.01024661	-1.720564	0.000197017	0.0206584	0.315036	3.66411	0.30788	0.300871	0.131521	0.259728	0.002597216	3.94523
40	0	-3713.477	-3714.226	0.7488783	0.5506298	0.1936035	0.305065	0.235437	0.420014	0.131896	0.258717	0.132675	0.120086	0.156463	0.472271	0.0604807	0.0473179	0.22282	0.427959	0.0764404	0.160055	0.138833	0.14324	0.225605	0.1521932	0.01510887	0.00723701	0.523306	0.00465135	0.0267693	0.421508	0.0165281	0.004717304	-1.882604	0.000422838	0.0301687	0.366758	3.60265	0.333204	0.284121	0.127153	0.255521	0.01982617	0.2379332
41	1	-3705.69	-3713.297	7.606328	0.4605107	0.2072049	0.118388	0.195396	0.363331	0.114459	0.0766442	0.171455	0.149551	0.303868	0.135897	0.244439	0.121016	0.148352	0.111605	0.238211	0.082007	0.307218	0.167493	0.189664	0.1563144	-0.009177109	0.0170528	0.529845	0.00540514	0.00868805	0.423694	0.0153149	0.01066041	-1.855886	0.00067533	0.0380327	0.402199	3.55909	0.299826	0.309544	0.128081	0.262549	0.001483298	7.186964
42	0	-3710.407	-3708.835	-1.571544	0.4834783	0.1964141	0.171748	0.386968	0.546405	0.245715	0.37408	0.178504	0.136109	0.153205	0.349141	0.0810646	0.0691227	0.127135	0.11352	0.252728	0.169939	0.203486	0.446277	0.124278	0.2474893	0.006565142	0.00988149	0.534696	0.00544567	0.00976492	0.430682	0.00952964	0.006787466	-1.396388	0.000468283	0.0317327	0.374234	3.59356	0.288893	0.316358	0.127728	0.267022	0.01335261	0.5083251
43	1	-3709.035	-3710.202	1.166785	0.5001285	0.1780037	0.138248	0.143573	0.565515	0.0278292	0.121319	0.214369	0.176886	0.273786	0.153659	0.196619	0.107473	0.15521	0.0591467	0.0945763	0.173499	0.427864	0.199317	0.165827	0.1773756	0.05516799	0.00889008	0.567913	0.00972133	0.00940876	0.383171	0.0208958	0.01041392	-1.729486	0.00022625	0.0221268	0.323873	3.65377	0.295987	0.301969	0.127551	0.274493	0.06558191	0.1587926
