Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
310	-3699.61	-3714.72	15.11029	4.61704	0.1750319	0.0208202	0.0195064	0.0162384	0.0240458	0.0126781	0.026077	0.016084	0.0659734	0.000512211	0.0227996	0.0519463	0.0425891	0.00701325	0.0117073	0.0545371	0.0182067	0.0536602	0.0117706	0.03092779	0.04980555	0.0139421	0.523304	0.0111444	0.00660959	0.442753	0.00224672	6.965682	0.01624194	-3.4761	0.00019831	0.0207256	0.315449	3.66363	0.307896	0.304111	0.113361	0.274631	0.06604748	0.245913
320	-3699.7	-3712.089	12.38859	5.771731	0.2056539	0.00675161	0.0269951	0.0326697	0.00586008	0.0125262	0.0491793	0.0332811	0.0637706	0.000839132	0.0408888	0.0476343	0.0248985	0.00890321	0.0484351	0.00703783	0.0170094	0.0389186	0.0568673	0.02621346	0.04042688	0.0121523	0.529744	0.00883791	0.00418939	0.443882	0.00119448	7.808817	0.02601449	-3.641482	0.000642231	0.0370996	0.398252	3.56401	0.317423	0.313521	0.119107	0.24995	0.06644136	0.3915405
330	-3706.967	-3719.246	12.27907	5.854616	0.1578478	0.0196814	0.0108536	0.0145444	0.00885922	0.00740189	0.0321704	0.0271389	0.0678383	0.00156583	0.0257333	0.0434149	0.0325289	0.00396826	0.0207852	0.0133322	0.0276467	0.0542328	0.0694363	0.03501919	0.04591403	0.0130799	0.598909	0.00934199	0.00416912	0.372711	0.00178887	9.161973	0.01214901	-3.351859	8.39394e-05	0.0135196	0.265349	3.72105	0.282775	0.332857	0.119003	0.265365	0.05806304	0.2092383
340	-3706.478	-3717.014	10.53612	7.51278	0.1707729	0.0133833	0.0262162	0.0155815	0.00897135	0.0103785	0.053071	0.0285496	0.0505596	0.00281074	0.026313	0.0242989	0.0123162	0.00745591	0.0137999	0.00696806	0.012593	0.0316417	0.175612	0.03900118	0.04726731	0.0140741	0.608094	0.00906939	0.00559694	0.361005	0.00216106	9.107982	0.01082985	-3.244163	0.000162864	0.018795	0.303244	3.6778	0.276886	0.325924	0.126138	0.271053	0.05809715	0.1864092
350	-3703.398	-3715.832	12.43353	5.97496	0.1712818	0.0131005	0.0283284	0.0158762	0.00700072	0.0108809	0.0291669	0.00970046	0.0487403	0.00333955	0.0149197	0.0350859	0.026075	0.00957277	0.00846446	0.00858381	0.0654714	0.0458959	0.0274184	0.03081003	0.02274084	0.0114233	0.498648	0.0132201	0.0177781	0.456147	0.00278357	12.13911	0.04448122	-3.479915	0.000166827	0.0190208	0.30471	3.6761	0.298023	0.298656	0.141335	0.261985	0.06722206	0.6617057
360	-3701.842	-3715.269	13.4268	5.870084	0.1877179	0.0255158	0.0256912	0.0134658	0.025411	0.0141425	0.0366429	0.0452944	0.0438434	0.00187256	0.0625144	0.0117724	0.00728931	0.00609161	0.0122243	0.00426423	0.0117727	0.0138034	0.056594	0.02718167	0.09203154	0.00623338	0.536004	0.00516991	0.0105795	0.440607	0.00140713	12.52194	0.01388376	-3.605213	0.000338085	0.027004	0.350851	3.62181	0.313213	0.313878	0.120112	0.252797	0.1059153	0.1310836
370	-3698.633	-3712.674	14.04093	6.486607	0.1660757	0.00401566	0.0136396	0.0163222	0.00767933	0.0176262	0.0224784	0.0299444	0.0867266	0.00141872	0.043237	0.0188085	0.0148712	0.00725053	0.00756678	0.0458671	0.00567015	0.00928205	0.0202424	0.02528158	0.1453204	0.0088961	0.502036	0.00928241	0.00617643	0.472562	0.00104743	12.5696	0.02296698	-3.677679	0.000129541	0.0167745	0.289613	3.69348	0.301079	0.299592	0.134634	0.264694	0.1682874	0.1364748
380	-3698.63	-3714.34	15.70937	5.768956	0.181085	0.0114994	0.0220281	0.0124847	0.0103474	0.0156798	0.0435178	0.032502	0.0498563	0.00225616	0.0199141	0.0279718	0.0226883	0.00943258	0.00778818	0.0155043	0.013767	0.0130626	0.0417978	0.02904215	0.06779253	0.015149	0.510097	0.00245618	0.00714525	0.463976	0.00117672	10.01459	0.0158533	-3.539007	0.000258196	0.0236253	0.332525	3.64359	0.302777	0.301282	0.133284	0.262657	0.08364583	0.1895288
390	-3702.639	-3716.469	13.83008	4.945775	0.1707984	0.00243951	0.0241397	0.0197431	0.00132206	0.0183092	0.0407995	0.0309375	0.0435357	0.00185819	0.0183633	0.0307784	0.0173361	0.0543373	0.0114186	0.0521784	0.00119601	0.0103308	0.0579614	0.02108522	0.00538677	0.0169663	0.537563	0.00322263	0.0117578	0.429582	0.000908173	11.19963	0.01483241	-3.859183	0.000163061	0.0188063	0.303317	3.67771	0.279305	0.300525	0.12533	0.294841	0.02021918	0.7335812
400	-3701.938	-3720.209	18.27076	4.530561	0.2273565	0.00316194	0.0316458	0.0258218	0.00246599	0.0120228	0.0466164	0.019762	0.0291677	0.00314943	0.0233979	0.0163081	0.0242359	0.0167281	0.0062326	0.0225991	0.00573755	0.0278163	0.0242159	0.02563118	-0.02928427	0.0272533	0.567916	0.00285253	0.00538734	0.394756	0.00183441	9.993725	0.04220224	-3.663946	0.00121883	0.0508972	0.451242	3.49664	0.286603	0.303117	0.134212	0.276068	0.01291797	3.266941
410	-3693.443	-3709.671	16.22749	5.450459	0.1794205	0.0123146	0.0251717	0.016282	0.00887312	0.00842527	0.0348976	0.0137072	0.0553491	0.00315989	0.0180636	0.0179512	0.0228276	0.00645048	0.00668868	0.00986104	0.0597796	0.0124426	0.0348907	0.03282833	0.002442623	0.0143852	0.501498	0.00503216	0.00478267	0.472634	0.00166788	9.830745	0.01049364	-3.416463	0.000240552	0.0228101	0.327862	3.64909	0.286543	0.291929	0.138072	0.283456	0.01293626	0.8111801
420	-3706.088	-3715.796	9.708037	5.925914	0.1837535	0.00350679	0.0280693	0.021354	0.00118208	0.0174309	0.0422018	0.0213398	0.044999	0.00275103	0.0540498	0.0274792	0.00794165	0.0154832	0.00805219	0.0336641	0.00912589	0.0517189	0.0326607	0.04441394	0.006567071	0.00806779	0.510968	0.00536392	0.00883914	0.464174	0.00258702	14.30901	0.009689679	-3.114202	0.00028845	0.0249599	0.339947	3.6348	0.310018	0.292886	0.150808	0.246288	0.01625675	0.5960404
430	-3700.622	-3712.902	12.28016	5.332668	0.1928739	0.034542	0.0491463	0.019768	0.0219452	0.0144758	0.0518678	0.0039304	0.0321868	0.00353104	0.00648491	0.0756124	0.0461354	0.00407863	0.0104217	0.00363676	0.0125274	0.00701889	0.0366592	0.02543465	0.005869873	0.0112997	0.523854	0.00849949	0.00852411	0.445867	0.00195543	13.9666	0.01247801	-3.671643	0.00041158	0.0297682	0.364805	3.60502	0.312606	0.292993	0.129864	0.264536	0.01834788	0.680079
440	-3694.147	-3711.234	17.08673	4.185056	0.1780945	0.00679614	0.0341695	0.0196588	0.00571365	0.0227192	0.055275	0.00561306	0.0350476	0.00341322	0.0127937	0.0387096	0.00570143	0.00977627	0.0120767	0.0159843	0.0118316	0.00407885	0.0237318	0.0156893	0.004868195	0.0127258	0.539585	0.0161753	0.00303755	0.424429	0.00404664	15.17503	0.002264154	-4.154777	0.000227147	0.0221703	0.324129	3.65347	0.321593	0.300039	0.133866	0.244502	0.007132349	0.3174486
450	-3704.403	-3715.153	10.7504	3.854165	0.1627548	0.00592442	0.0347392	0.0189108	0.00524495	0.0198797	0.0481427	0.026271	0.0410152	0.00678785	0.0748063	0.01742	0.00262826	0.0192542	0.00180217	0.0197849	0.052283	0.00625112	0.023639	0.03583565	0.006333739	0.010805	0.620895	0.00978607	0.0114414	0.344371	0.00270232	15.7447	0.00733028	-3.328812	0.000109307	0.0154166	0.279875	3.7046	0.320022	0.292308	0.134779	0.252891	0.01366402	0.5364659
460	-3696.523	-3715.025	18.50267	4.331324	0.1715694	0.00840963	0.0357032	0.0166553	0.00774736	0.0203004	0.0402739	0.00464945	0.037278	0.00988891	0.0101118	0.0175732	0.0205571	0.00510919	0.00357954	0.0177897	0.0355112	0.00480492	0.0246683	0.01953799	0.02379362	0.00992333	0.476294	0.00884107	0.00747553	0.494661	0.00280548	12.84593	0.005563939	-3.935395	0.000169099	0.019149	0.305538	3.67514	0.321274	0.305655	0.11919	0.25388	0.02935756	0.1895232
470	-3697.586	-3713.578	15.99201	5.236541	0.1606357	0.0079148	0.0297666	0.0318269	0.00572021	0.016093	0.0278512	0.0174062	0.0629677	0.00773098	0.0173408	0.00807649	0.00594851	0.0070404	0.0363531	0.0159529	0.00537242	0.0208449	0.0400859	0.02501395	0.1005893	0.0121543	0.451109	0.00471818	0.00397354	0.524688	0.00335722	11.77187	0.01305735	-3.688322	9.77198e-05	0.0145812	0.273622	3.7117	0.309174	0.290972	0.139249	0.260605	0.1136466	0.1148943
480	-3700.656	-3712.957	12.30194	6.572509	0.1914213	0.0356593	0.0393109	0.012761	0.0249351	0.00830941	0.0422467	0.0353685	0.0360169	0.00435797	0.0387026	0.0377762	0.00525546	0.00579039	0.00110959	0.00586546	0.0534715	0.00153501	0.015867	0.02287681	0.01933698	0.0191383	0.474402	0.00457736	0.00700126	0.486086	0.008795	17.37209	0.01801005	-3.777631	0.00038981	0.0289776	0.3609	3.60973	0.302252	0.289353	0.138474	0.269921	0.03734703	0.4822351
490	-3697.815	-3713.435	15.62017	5.116011	0.1830029	0.00582782	0.0238265	0.0175366	0.00305728	0.0196766	0.0339826	0.024296	0.0335691	0.00687383	0.018125	0.0286885	0.00561902	0.0177829	0.0228409	0.041242	0.00729295	0.00363463	0.0241547	0.02894533	-0.009414462	0.0126991	0.47053	0.00312663	0.00309736	0.497804	0.0127434	13.52858	0.03089335	-3.542347	0.00027969	0.0245811	0.337866	3.63727	0.326187	0.296403	0.128863	0.248547	0.02147889	1.438312
