Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
320	-3715.866	-3710.399	-5.467185	0.5576106	0.1820812	0.582336	0.0411037	0.195885	0.254907	0.241864	0.182321	0.032567	0.0167478	0.294645	0.159167	0.17939	0.142639	0.0708878	0.148316	0.0907498	0.402501	0.153809	0.403922	0.1456978	-0.02599147	0.00633623	0.518745	0.00584134	0.0153026	0.45209	0.00168495	0.1444445	0.000269203	0.0241196	0.335303	3.64031	0.284259	0.305484	0.140084	0.270172	0.118453	1.219424
330	-3724.146	-3714.823	-9.322423	0.6296335	0.1899195	0.482611	0.0234355	0.356927	0.313901	0.173787	0.154462	0.254139	0.199196	0.288206	0.251435	0.391998	0.0435481	0.068052	0.0361403	0.176805	0.15611	0.168201	0.668966	0.2846112	-0.1024607	0.0100119	0.545531	0.00919983	0.0246542	0.409285	0.00131727	0.1954921	0.000368191	0.02817	0.356841	3.61462	0.298145	0.280898	0.144713	0.276244	0.09303142	2.101356
340	-3723.512	-3718.566	-4.945487	0.5020643	0.2030192	0.420599	0.0123551	0.159828	0.264069	0.182908	0.182505	0.0725157	0.0464575	0.172303	0.0901519	0.34668	0.131837	0.0624379	0.0542053	0.277876	0.209131	0.12895	0.631685	0.2694223	0.1121355	0.0104695	0.554527	0.0112993	0.00636366	0.416034	0.00130588	0.02726637	0.000588641	0.0355353	0.391492	3.57238	0.29522	0.278141	0.147884	0.278754	0.1394019	0.1955955
350	-3731.821	-3721.033	-10.78821	0.6135668	0.2196338	0.527036	0.0102455	0.381819	0.729618	0.380073	0.128759	0.181417	0.191835	0.174239	0.195318	0.420306	0.0815217	0.126553	0.0823227	0.0327936	0.872588	0.179622	0.549715	0.2325019	0.02887388	0.0119566	0.433537	0.0104663	0.00198277	0.539244	0.00281353	0.02440052	0.000984577	0.0458143	0.432937	3.52026	0.329405	0.302953	0.122852	0.24479	0.0532744	0.4580159
360	-3721.895	-3714.584	-7.311411	0.4630275	0.1997059	0.393723	0.00942014	0.239033	0.396069	0.292255	0.149153	0.193356	0.221547	0.373832	0.279733	0.111256	0.0638188	0.139702	0.234898	0.168059	0.136506	0.213691	0.446626	0.1691292	0.1299189	0.0111123	0.517263	0.00858725	0.00199419	0.459501	0.00154153	0.05111326	0.000525824	0.033606	0.38289	3.58298	0.26915	0.330174	0.13389	0.266785	0.1810322	0.2823435
370	-3725.727	-3715.625	-10.10194	0.6298423	0.1493184	0.58831	0.0136731	0.219839	0.317478	0.125086	0.388332	0.14687	0.0774405	0.237252	0.0922376	0.273076	0.102036	0.023929	0.210058	0.317149	0.386983	0.336939	0.87988	0.1965663	0.07631329	0.00821726	0.540532	0.00480652	0.00438952	0.44066	0.00139429	0.05619795	5.08911e-05	0.0105396	0.239769	3.74964	0.311972	0.310992	0.129807	0.247229	0.1325112	0.4240995
380	-3727.836	-3715.083	-12.75306	0.4754642	0.1471434	0.748641	0.0234198	0.231316	0.359197	0.209092	0.610076	0.199219	0.296416	0.255572	0.0605212	0.113561	0.334541	0.0389815	0.0784286	0.219834	0.195539	0.862143	0.770843	0.3195573	0.03027683	0.00950116	0.548046	0.00567482	0.00511116	0.430892	0.000775395	0.04777131	4.43797e-05	0.00984522	0.233193	3.75692	0.313101	0.304475	0.132052	0.250372	0.07804814	0.612075
390	-3726.134	-3713.93	-12.20359	0.4078546	0.1792522	0.540768	0.0671142	0.251423	0.440701	0.228943	0.159623	0.0789156	0.053815	0.25076	0.0811274	0.17883	0.188438	0.983282	0.516898	0.0592741	0.0855748	0.158204	0.506653	0.3393968	-0.2299243	0.00723116	0.618918	0.0094631	0.0128563	0.349665	0.00186708	0.2531344	0.000238819	0.0227284	0.327389	3.64964	0.304995	0.311775	0.135219	0.248012	0.02321009	10.90622
400	-3718.911	-3714.271	-4.639894	0.5339842	0.1830096	0.403303	0.09116	0.382593	0.495106	0.141754	0.208173	0.0977227	0.0486771	0.195948	0.0252251	0.0347371	0.169607	0.0450869	0.0446332	0.260369	0.303738	0.316199	0.514767	0.1845885	0.0004285034	0.0135261	0.579927	0.00629486	0.0112223	0.385019	0.00401059	0.06732842	0.000279768	0.0245845	0.337885	3.63725	0.28435	0.319216	0.130269	0.266165	0.06775692	0.9936759
410	-3714.373	-3710.107	-4.26551	0.5940696	0.1636211	0.510342	0.052516	0.23039	0.38769	0.15712	0.102054	0.567121	0.183221	0.397684	0.185824	0.0488157	0.0472956	0.104958	0.0155988	0.178131	0.0127796	0.247219	0.390085	0.1891205	-0.001416171	0.0129421	0.533795	0.0117314	0.00429182	0.433693	0.00354634	0.03912952	0.000114335	0.0157651	0.282423	3.7017	0.304572	0.301854	0.126956	0.266617	0.03771335	1.037551
