Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
320	13.81463	0	13.81463	15.40236	1909.238	0.0386151	0.0137277	0.0308068	0.027242	0.0102078	0.0214679	0.0013758	0.0102718	0.0202919	0.065086	0.00490233	0.00794914	0.0115932	0.0180777	0.00929082	0.00241469	0.00215609	0.0219225	0.01904619	-0.04821758	0.0663635	0.0672635	0.182043	0.0829072	0.369543	0.23188	15.64976	0.140781	-3.960888	0.971061	0.992421	1.00728	1.02924	0.173791	0.202785	0.473663	0.149761	0.0925634	1.520914
330	7.827669	0	7.827669	7.196832	2519.34	0.0428566	0.0161133	0.0482937	0.0258431	0.0340897	0.0228073	0.00172211	0.00459752	0.0374437	0.0298303	0.0576289	0.0198685	0.042028	0.061359	0.00872959	0.0111433	0.0115063	0.000926699	0.02966996	0.2316108	0.0550497	0.13785	0.100904	0.0491173	0.455886	0.201193	21.54426	0.0268065	-3.51762	0.97479	0.993419	1.00635	1.02544	0.14738	0.091219	0.411038	0.350364	0.2584173	0.1037334
340	19.36677	0	19.36677	2.842485	728.8951	0.00682552	0.00362065	0.0245824	0.0125205	0.0335461	0.0182881	0.00124762	0.00107465	0.0343115	0.0061256	0.00371135	0.0598727	0.00461347	0.0096031	0.00914793	0.0279042	0.00250032	0.000818961	0.01795673	0.1329862	0.073552	0.185628	0.0760145	0.0135813	0.406715	0.24451	17.18774	0.1024975	-4.01979	0.953319	0.987586	1.01163	1.04747	0.0521497	0.079774	0.381023	0.487053	0.2354838	0.4352637
350	20.99003	0	20.99003	3.560338	1214.877	0.041139	0.000731332	0.00803841	0.0342324	0.0281107	0.0172717	0.00191909	0.00171083	0.0197194	0.00461209	0.0108618	0.0282702	0.0535272	0.00211862	0.013758	0.00166773	0.00581838	0.00123685	0.01722365	0.1078637	0.0632489	0.185202	0.0384857	0.0137992	0.397518	0.301746	10.31061	0.1692702	-4.061472	0.963771	0.990452	1.00908	1.0367	0.0537871	0.128301	0.689652	0.128259	0.2771339	0.6107884
360	21.46336	0	21.46336	3.329365	1148.62	0.0600355	0.00440112	0.0321352	0.0164411	0.0232283	0.0125605	0.0133975	0.000429595	0.00639388	0.0301843	0.00425299	0.00988753	0.0222934	0.0237514	0.00532897	0.0130706	0.0124365	0.00488637	0.01297364	-0.2530831	0.101009	0.260609	0.078115	0.0223561	0.42465	0.11326	13.22537	0.2992879	-4.344836	0.962748	0.990173	1.00933	1.03775	0.148664	0.219978	0.270602	0.360757	0.04620487	6.477412
370	29.02663	0	29.02663	3.02147	1282.896	0.0192703	0.00681047	0.0141581	0.00905585	0.0193595	0.0138456	0.0108915	0.00273811	0.0111267	0.0141861	0.0218096	0.00717512	0.0160234	0.0366023	0.00188872	0.0297705	0.00794658	0.00515458	0.01439952	-0.1256212	0.0872108	0.229621	0.122417	0.0636132	0.362314	0.134824	5.258308	0.163499	-4.24056	0.964738	0.990714	1.00884	1.03571	0.131964	0.0288293	0.212061	0.627145	0.03787781	4.316484
380	23.94475	0	23.94475	1.623488	435.7459	0.0153421	0.018075	0.0418701	0.00420919	0.0046842	0.0152905	0.0133739	0.0212711	0.0377377	0.1115	0.0190108	0.0686985	0.00072245	0.00748448	0.0128354	0.0320627	0.040448	0.0106228	0.0224249	-0.07529546	0.0748901	0.388253	0.162115	0.0434219	0.256942	0.0743783	1.961571	0.1351734	-3.797584	0.939781	0.983798	1.01489	1.06153	0.126041	0.0193235	0.0957294	0.758906	0.05987799	2.257481
390	4.746806	0	4.746806	1.685063	414.3787	0.0633807	0.0729997	0.0484597	0.00343613	0.0547592	0.0995811	0.0174372	0.0515932	0.0885081	0.15054	0.118309	0.049228	0.00334833	0.0306447	0.0191837	0.0484975	0.0483431	0.0955134	0.07912905	-0.1420034	0.0228703	0.369849	0.312798	0.0749059	0.158757	0.0608196	2.299079	0.2566297	-2.536675	0.938266	0.983369	1.01525	1.06311	0.0754816	0.0373762	0.0702058	0.816936	0.1146263	2.238838
400	3.133957	0	3.133957	1.868986	436.9341	0.0406713	0.0744064	0.0426666	0.00897391	0.0233639	0.0491623	0.141456	0.0438905	0.121153	0.125671	0.0283066	0.118239	0.0110653	0.0525342	0.0155855	0.0193388	0.242475	0.0542358	0.05762124	-0.03115453	0.0480967	0.210835	0.394139	0.0559583	0.191351	0.0996204	3.669642	0.08369117	-2.853864	0.939862	0.983821	1.01487	1.06145	0.172347	0.0637377	0.139477	0.624439	0.05253664	1.593006
410	-4.652747	0	-4.652747	4.206386	574.7987	0.0968642	0.241751	0.161884	0.0046442	0.0841308	0.0538023	0.417608	0.0325114	0.210319	0.03082	0.0167485	0.0432614	0.091273	0.0249458	0.0125853	0.00846693	0.023968	0.0265844	0.104056	0.07457272	0.0816117	0.30292	0.112337	0.0519099	0.351244	0.099977	4.465367	0.05245896	-2.262826	0.947491	0.985966	1.01304	1.0535	0.552674	0.150842	0.0333837	0.2631	0.1270317	0.4129596
