Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
66	0	-3736.899	-3722.027	-14.87194	0.2209301	0.2472691	0.2951886	-0.05881389	0.0134582	0.534848	0.00723786	0.00239862	0.435625	0.00643268	0.06259773	0.00198691	0.0647249	0.495691	3.4376	0.27554	0.301247	0.136212	0.287001	0.003783838	16.54345
67	1	-3738.46	-3720.703	-17.75699	0.2141332	0.1838481	0.2824469	-0.1590729	0.0119872	0.519238	0.00686899	0.00627987	0.449389	0.00623645	0.2932967	0.000289567	0.0250078	0.340209	3.63449	0.28486	0.289879	0.143778	0.281483	0.1342238	2.185132
68	0	-3736.87	-3721.548	-15.32138	0.2085659	0.1947031	0.3597592	-0.03133618	0.0120697	0.565136	0.0078027	0.00185333	0.408713	0.0044256	0.03649746	0.000440223	0.0307767	0.369693	3.59909	0.306224	0.293048	0.128975	0.271753	0.005161285	7.071391
69	1	-3739.184	-3723.61	-15.57445	0.2098373	0.2015632	0.3337331	0.02481463	0.0141028	0.433075	0.00619577	0.00735693	0.534993	0.00427689	0.04097121	0.000560419	0.0346822	0.387726	3.57703	0.285831	0.286111	0.132102	0.295957	0.06578584	0.6227967
70	0	-3737.009	-3721.822	-15.18712	0.2042262	0.1723179	0.3239422	0.007584608	0.013409	0.550001	0.00843331	0.00183364	0.424238	0.00208521	0.03080855	0.000175121	0.0194846	0.307689	3.67265	0.310503	0.297481	0.130926	0.261091	0.03839316	0.802449
71	1	-3744.374	-3728.898	-15.47633	0.2936587	0.1716655	0.2358544	-0.1717549	0.0121875	0.517274	0.00720717	0.00412782	0.444957	0.0142463	0.1890502	0.000169863	0.0191919	0.305814	3.67482	0.296387	0.304229	0.137959	0.261425	0.01729533	10.93071
72	0	-3734.458	-3718.802	-15.65561	0.2149976	0.1872833	0.3752044	0.01101396	0.0114284	0.520112	0.00844038	0.00222848	0.456918	0.000872405	0.02634233	0.00033236	0.0267764	0.349663	3.62323	0.305767	0.299524	0.131825	0.262884	0.03735628	0.7051645
73	1	-3740.811	-3723.787	-17.02353	0.2992173	0.197821	0.2671938	-0.03710382	0.0109839	0.523095	0.00700205	0.00357194	0.452531	0.00281542	0.1859392	0.000492296	0.032528	0.377947	3.58903	0.315468	0.292797	0.121969	0.269766	0.1488354	1.249294
74	0	-3736.552	-3720.178	-16.3735	0.2174389	0.2017562	0.337131	-0.03770232	0.0114161	0.533327	0.0106621	0.00186446	0.440385	0.00234532	0.1180749	0.000564104	0.0347948	0.388226	3.57642	0.275571	0.30729	0.133298	0.283842	0.08037257	1.469094
75	1	-3743.949	-3728.51	-15.43908	0.2732467	0.2131115	0.2927363	-0.00958571	0.0161158	0.548133	0.0194113	0.00141663	0.41253	0.00239287	0.07124068	0.000812298	0.0416654	0.417004	3.54052	0.273991	0.326013	0.122407	0.277588	0.06165497	1.155473
